filename,HC_mm,pixel_size_mm
alk001.png,51.554,0.239527
alk002.png,234.426,0.321654
alk003.png,72.144,0.18703
alk004.png,63.914,0.095659
alk005.png,228.063,0.361501
alk006.png,210.727,0.334012
alk007.png,236.714,0.3654
alk008.png,236.421,0.389487
alk009.png,190.807,0.327184
alk010.png,185.323,0.248252
alk011.png,87.586,0.220796
alk012.png,206.722,0.349322
alk013.png,212.909,0.383642
alk014.png,202.744,0.345024
alk015.png,186.127,0.368813
alk016.png,61.938,0.159585
alk017.png,201.937,0.376143
alk018.png,185.171,0.29644
alk019.png,225.283,0.376042
alk020.png,73.39,0.118494
alk021.png,299.725,0.361703
alk022.png,180.323,0.350811
alk023.png,208.585,0.316229
alk024.png,208.258,0.386536
alk025.png,178.787,0.340274
alk026.png,224.041,0.350421
alk027.png,202.08,0.317575
alk028.png,204.119,0.37516
alk029.png,82.435,0.245879
alk030.png,86.79,0.250565
alk031.png,187.642,0.346511
alk032.png,175.84,0.357965
alk033.png,201.378,0.363441
alk034.png,198.711,0.36205
alk035.png,217.477,0.354232
alk036.png,184.256,0.368757
alk037.png,193.863,0.261037
alk038.png,188.547,0.323163
alk039.png,74.702,0.225106
alk040.png,60.342,0.137069
alk041.png,180.947,0.374305
alk042.png,92.035,0.230135
alk043.png,188.366,0.353125
alk044.png,193.16,0.331537
alk045.png,115.413,0.355559
alk046.png,217.18,0.331379
alk047.png,100.749,0.240711
alk048.png,188.694,0.370696
alk049.png,224.213,0.37003
alk050.png,218.561,0.373224
alk051.png,194.05,0.367789
alk052.png,182.238,0.28358
alk053.png,262.127,0.37915
alk054.png,196.405,0.356528
alk055.png,219.069,0.331399
alk056.png,230.063,0.381371
alk057.png,181.342,0.351967
alk058.png,197.357,0.3889
alk059.png,195.099,0.3421
alk060.png,185.682,0.376806
alk061.png,77.135,0.117344
alk062.png,181.86,0.368369
alk063.png,193.565,0.31256
alk064.png,189.921,0.388767
alk065.png,307.108,0.352011
alk066.png,62.484,0.204393
alk067.png,189.54,0.384973
alk068.png,186.839,0.380281
alk069.png,223.213,0.309661
alk070.png,202.389,0.332022
alk071.png,175.303,0.351879
alk072.png,224.52,0.280273
alk073.png,207.028,0.322935
alk074.png,290.376,0.195572
alk075.png,175.974,0.363131
alk076.png,188.678,0.372194
alk077.png,281.346,0.384658
alk078.png,210.851,0.361914
alk079.png,181.923,0.388851
alk080.png,190.448,0.285564
alk081.png,64.593,0.176809
alk082.png,198.726,0.378128
alk083.png,179.866,0.354762
alk084.png,93.596,0.252142
alk085.png,146.393,0.358236
alk086.png,220.756,0.381829
alk087.png,195.315,0.389282
alk088.png,228.246,0.368638
alk089.png,205.57,0.385302
alk090.png,344.235,0.31276
alk091.png,185.42,0.275576
alk092.png,225.522,0.382046
alk093.png,184.881,0.30855
alk094.png,205.987,0.387394
alk095.png,186.839,0.321749
alk096.png,181.103,0.294904
alk097.png,98.561,0.22619
alk098.png,183.647,0.243002
